id,fund_manager,fund,fund_all_names,e_vote,s_vote,g_vote,e_support,s_support,g_support,fund_is_esg,sum_votes
180,2,SPDR(R) S&P(R) International Materials Sector ETF,['SPDR(R) S&P(R) International Materials Sector ETF'],1,10,6,5.882352941,5.882352941,0,0,17
87,2,SPDR S&P Technology Hardware ETF,['SPDR S&P Technology Hardware ETF'],0,7,10,0,5.882352941,11.76470588,0,17
353,0,BlackRock Emerging Markets Dividend Fund,"['BlackRock China Fund', 'BlackRock Emerging Markets Dividend Fund']",3,6,9,0,0,27.77777778,0,18
1,1,Vanguard Mid-Cap Growth Fund,['Vanguard Mid-Cap Growth Fund'],2,4,12,5.555555556,8.333333333,50,0,18
175,2,SPDR(R) S&P(R) International Consumer Staples Sector ETF,['SPDR(R) S&P(R) International Consumer Staples Sector ETF'],2,3,13,0,0,11.11111111,0,18
12,2,State Street Institutional Small-Cap Equity Fund,"['Small-Cap Equity Fund', 'State Street Institutional Small-Cap Equity Fund']",3,2,15,5,5,60,0,20
302,2,State Street Small-Cap Equity V.I.S. Fund,"['Small-Cap Equity Fund', 'State Street Small-Cap Equity V.I.S. Fund']",3,2,15,5,5,60,0,20
144,2,STATE STREET GLOBAL VALUE SPOTLIGHT FUND,['STATE STREET GLOBAL VALUE SPOTLIGHT FUND'],4,9,8,0,11.9047619,4.761904762,0,21
55,2,SPDR(R) S&P(R) Semiconductor ETF,['SPDR(R) S&P(R) Semiconductor ETF'],0,4,17,0,2.380952381,28.57142857,0,21
237,2,Direxion Daily Semiconductor Bull 3X Shares,['Direxion Daily Semiconductor Bull 3X Shares'],0,11,11,0,27.27272727,50,0,22
91,2,SPDR S&P Kensho Future Security ETF,"['SPDR Kensho Future Security ETF', 'SPDR S&P Kensho Future Security ETF']",2,5,15,9.090909091,6.818181818,15.90909091,0,22
89,2,SPDR S&P Kensho Intelligent Structures ETF,"['SPDR Kensho Intelligent Infrastructure ETF', 'SPDR Kensho Intelligent Structures ETF', 'SPDR S&P Kensho Intelligent Structures ETF']",2,8,13,8.695652174,13.04347826,28.26086957,0,23
346,0,BLACKROCK AURORA PORTFOLIO,['BLACKROCK AURORA PORTFOLIO'],4,5,14,13.04347826,0,43.47826087,0,23
409,0,iShares MSCI Japan ETF,"['iShares MSCI Japan Index Fund', 'iShares MSCI Japan ETF']",3,4,16,0,0,4.347826087,0,23
181,2,SPDR(R) S&P(R) International Technology Sector ETF,['SPDR(R) S&P(R) International Technology Sector ETF'],0,4,19,0,4.347826087,8.695652174,0,23
256,0,BlackRock Systematic Multi-Strategy Fund,"['BlackRock Alternative Capital Strategies Fund', 'BlackRock Systematic Multi-Strategy Fund']",0,11,13,0,4.166666667,4.166666667,0,24
236,2,Direxion Daily Retail Bull 2X Shares,"['Direxion Daily Retail Bull 3X Shares', 'Direxion Daily Retail Bull 2X Shares']",2,4,18,8.333333333,4.166666667,58.33333333,0,24
271,0,BlackRock High Yield Portfolio,"['BlackRock High Income Portfolio', 'BlackRock High Yield Portfolio']",2,11,12,0,0,16,0,25
285,0,BlackRock High Yield V.I.Fund,"['BlackRock High Income V.I. Fund', 'BlackRock High Yield V.I.Fund']",2,11,12,0,0,16,0,25
401,2,LVIP BlackRock Global Real Estate Fund,"['LVIP Cohen & Steers Global Real Estate Fund', 'LVIP Clarion Global Real Estate Fund', 'LVIP BlackRock Global Real Estate Fund']",1,4,20,0,0,60,0,25
354,0,BlackRock Global Long/Short Credit Fund,"['BlackRock Absolute Return Global Bond Portfolio', 'BlackRock Global Long/Short Credit Fund']",9,12,10,0,0,3.225806452,0,31
138,2,State Street Defensive Global Equity Fund,"['State Street Global Managed Volatility Fund', 'State Street Disciplined Global Equity Fund', 'State Street Defensive Global Equity Fund']",5,16,11,1.5625,6.25,7.8125,0,32
35,2,The Communication Services Select Sector SPDR Fund,['The Communication Services Select Sector SPDR Fund'],1,12,19,3.125,9.375,32.8125,0,32
252,2,State Street Clarion Global Infrastructure & MLP Portfolio,['State Street Clarion Global Infrastructure & MLP Portfolio'],14,9,10,30.3030303,21.21212121,24.24242424,0,33
421,1,Vanguard Strategic Equity Fund,['Vanguard Strategic Equity Fund'],2,15,18,1.428571429,8.571428571,25.71428571,0,35
