,fund,e_support,s_support,g_support,e_vote,s_vote,g_vote,index,id,fund_manager,fund_is_esg
0,Vanguard Energy Fund,14.285714285714285,19.047619047619047,7.142857142857142,14,18,11,Vanguard Energy Fund,0,1,0
1,Vanguard European Stock Index Fund,12.5,12.5,0.0,1,3,0,Vanguard European Stock Index Fund,1,1,0
2,Vanguard Us Liquidity Factor Etf,10.16949152542373,3.389830508474576,5.084745762711865,18,18,25,Vanguard Us Liquidity Factor Etf,2,1,0
3,Vanguard Total International Stock Index Fund,9.400544959128066,3.5422343324250685,3.4059945504087197,133,127,120,Vanguard Total International Stock Index Fund,3,1,0
4,Vanguard Small-Cap Growth Index Fund,8.264462809917356,4.132231404958678,26.446280991735538,33,14,75,Vanguard Small-Cap Growth Index Fund,4,1,0
5,Vanguard Equity Income Fund,7.885304659498208,13.799283154121863,3.225806451612903,47,89,145,Vanguard Equity Income Fund,5,1,0
6,Vanguard International Growth Fund,7.8125,0.0,6.25,9,13,11,Vanguard International Growth Fund,6,1,0
7,Vanguard International Value Fund,7.8125,0.0,7.8125,10,5,17,Vanguard International Value Fund,7,1,0
8,Vanguard Asset Allocation Fund,7.4029126213592225,15.169902912621358,7.4029126213592225,67,139,211,Vanguard Asset Allocation Fund,8,1,0
9,Vanguard Utilities Index Fund,7.142857142857142,0.0,7.142857142857142,1,9,4,Vanguard Utilities Index Fund,9,1,0
10, Vanguard Russell 2000 Growth Index Fund,6.363636363636363,5.454545454545454,32.72727272727273,12,7,36, Vanguard Russell 2000 Growth Index Fund,10,1,0
11,Vanguard Variable Insurance Fund-Mid-Cap Index Portfolio,6.289308176100629,6.918238993710692,15.09433962264151,21,51,87,Vanguard Variable Insurance Fund-Mid-Cap Index Portfolio,11,1,0
12, Vanguard Total World Stock Index Fund,5.956678700361011,7.761732851985561,9.025270758122744,68,89,125, Vanguard Total World Stock Index Fund,12,1,0
13, Vanguard Explorer Value Fund,5.555555555555555,11.11111111111111,33.33333333333333,1,2,6, Vanguard Explorer Value Fund,13,1,0
14, Vanguard Mid-Cap Growth Fund,5.555555555555555,8.333333333333332,50.0,2,4,12, Vanguard Mid-Cap Growth Fund,14,1,0
15, Vanguard S &P Mid-Cap 400 Index Fund,5.405405405405405,4.054054054054054,21.62162162162162,7,5,25, Vanguard S &P Mid-Cap 400 Index Fund,15,1,0
16, Vanguard Explorer Fund,5.39568345323741,3.9568345323741005,32.37410071942446,24,15,101, Vanguard Explorer Fund,16,1,0
17, Vanguard Tax-Managed Balanced Fund,5.154028436018957,11.492890995260662,9.656398104265403,136,296,424, Vanguard Tax-Managed Balanced Fund,17,1,0
18,Vanguard Mid-Cap Value Index Fund,5.0,20.0,10.0,1,4,5,Vanguard Mid-Cap Value Index Fund,18,1,0
19,Vanguard Explorer Fund,4.978354978354979,7.142857142857142,27.056277056277057,46,51,136,Vanguard Explorer Fund,19,1,0
20, Vanguard Variable Insurance Fund-Equity Income Portfolio,4.666666666666667,7.666666666666666,3.3333333333333335,35,52,64, Vanguard Variable Insurance Fund-Equity Income Portfolio,20,1,0
21, Vanguard Market Neutral Fund,4.435483870967742,8.669354838709678,11.29032258064516,40,88,122, Vanguard Market Neutral Fund,21,1,0
22,Vanguard Tax-Managed Balanced Fund,4.431736954967834,6.862044317369549,7.719799857040743,232,473,727,Vanguard Tax-Managed Balanced Fund,22,1,0
23,Vanguard Primecap Fund,4.381443298969072,7.731958762886598,6.185567010309279,24,66,111,Vanguard Primecap Fund,23,1,0
24,Vanguard Market Neutral Fund,4.37956204379562,8.637469586374696,8.394160583941606,65,131,225,Vanguard Market Neutral Fund,24,1,0
25,Vanguard Wellesley Income Fund,4.343220338983051,5.614406779661017,1.694915254237288,89,192,206,Vanguard Wellesley Income Fund,25,1,0
26,Vanguard Balanced Index Fund,4.288452323909919,7.426928605654048,12.362242453282224,364,660,1102,Vanguard Balanced Index Fund,26,1,0
27, Vanguard Capital Opportunity Fund,4.263565891472868,12.790697674418606,13.178294573643413,27,49,55, Vanguard Capital Opportunity Fund,27,1,0
28,Vanguard Small-Cap Value Index Fund,4.25531914893617,8.51063829787234,36.17021276595745,3,11,33,Vanguard Small-Cap Value Index Fund,28,1,0
29, Vanguard High Dividend Yield Index Fund,4.193548387096775,10.0,3.225806451612903,30,67,59, Vanguard High Dividend Yield Index Fund,29,1,0
