id,fund,e_support,s_support,g_support,e_vote,s_vote,g_vote,fund_manager,fund_is_esg
22,Vanguard Balanced Index Fund,4.0,7.984848484848490,12.818181818181800,545,1043,1764,1,0
108,Blackrock S&P 500 Index V.I. Fund,0.4935225169648370,0.0,0.0,547,1177,1545,0,0
16,Vanguard Tax-Managed Balanced Fund,4.703522068658050,8.604547481052160,8.448506464556400,368,769,1151,1,0
28,Vanguard Institutional Index Fund,3.580960854092530,8.652135231316730,6.628113879003560,359,826,1107,1,0
118,Blackrock Global Allocation Portfolio,0.4235294117647060,0.0,0.0,341,776,1023,0,0
110,"Blackrock Global Allocation Fund, Inc.",0.4817987152034260,0.0,0.0,303,714,865,0,0
109,Blackrock Global Allocation V.I. Fund,0.482315112540193,0.0,0.0,303,713,864,0,0
37,Vanguard Morgan Growth Fund,2.809415337889140,7.744874715261960,8.390280941533790,200,486,661,1,0
122,Blackrock Equity Dividend Fund,0.33726812816188900,0.0,0.0,212,453,529,0,0
40,Vanguard S&P 500 Growth Index Fund,2.3636363636363600,7.363636363636360,8.318181818181820,174,425,525,1,0
36,Vanguard Growth And Income Fund,2.8169014084507000,4.979879275653920,6.690140845070420,175,381,471,1,0
31,Vanguard Wellington Fund,3.399765533411490,9.14419695193435,3.985932004689330,140,316,407,1,0
104,Blackrock Global Dynamic Equity Fund,0.5312084993359890,0.0,0.0,103,260,392,0,0
32,Vanguard Institutional Total Stock Market Index Fund,3.387533875338750,5.149051490514910,13.143631436314400,134,238,384,1,0
33,Vanguard Windsor Fund,3.350854139290410,11.038107752956600,5.19053876478318,90,297,381,1,0
124,Blackrock Equity Dividend V.I. Fund,0.32085561497326200,0.0,0.0,180,382,379,0,0
106,Blackrock Balanced Capital Portfolio,0.5012531328320800,0.0,0.0,110,327,368,0,0
125,Blackrock Basic Value V.I. Fund,0.26702269692923900,0.0,0.0,121,281,358,0,0
19,Vanguard Market Neutral Fund,4.400606980273140,8.649468892261000,9.484066767830050,105,219,347,1,0
30,Vanguard Total World Stock Index Fund,3.4722222222222200,4.78395061728395,11.574074074074100,113,222,331,1,0
25,Vanguard Large-Cap Index Fund,3.8011695906432700,9.429824561403510,9.649122807017540,122,240,331,1,0
38,Vanguard Structured Broad Market Fund,2.7496382054992800,7.959479015918960,5.643994211287990,108,274,316,1,0
83,Ishares Total U.S. Stock Market Index Fund,1.3050570962479600,0.0,0.0,77,229,311,0,0
15,Vanguard Equity Income Fund,5.045871559633030,11.009174311926600,3.5168195718654400,111,236,311,1,0
94,Blackrock Asset Allocation Portfolio,0.8460236886632830,0.0,0.0,91,192,309,0,0
101,Blackrock Large Cap Core V.I. Fund,0.6259780907668230,0.0,0.0,107,244,293,0,0
99,Blackrock Large Cap Core Portfolio,0.6299212598425200,0.0,0.0,104,245,291,0,0
29,Vanguard Wellesley Income Fund,3.4814814814814800,6.148148148148150,1.6296296296296300,122,280,290,1,0
98,Blackrock Large Cap Value V.I. Fund,0.6861063464837050,0.0,0.0,103,226,258,0,0
79,Ishares MSCI Developed World Index Fund,1.391304347826090,0.0,0.0,91,232,258,0,0
14,Vanguard Explorer Fund,5.135135135135140,5.9459459459459500,29.054054054054100,70,66,237,1,0
27,Vanguard Primecap Fund,3.6384976525821600,9.741784037558690,6.807511737089200,55,155,225,1,0
119,Blackrock Global Opportunities Portfolio,0.40816326530612200,0.0,0.0,88,185,219,0,0
5,Vanguard Asset Allocation Fund,7.4029126213592200,15.169902912621400,7.4029126213592200,67,139,211,1,0
6,Vanguard Total International Stock Index Fund,7.347670250896060,3.046594982078850,5.28673835125448,200,168,208,1,0
26,Vanguard U.S. Value Fund,3.7422037422037400,8.627858627858630,4.885654885654890,95,187,205,1,0
127,Blackrock Managed Volatility Portfolio,0.23201856148491900,0.0,0.0,83,148,204,0,0
128,Blackrock Global Opportunities V.I. Fund,0.20366598778004100,0.0,0.0,96,196,204,0,0
117,Blackrock Impact U.S. Equity Fund,0.423728813559322,0.0,0.0,71,204,204,0,0
126,Blackrock Large Cap Growth V.I. Fund,0.25380710659898500,0.0,0.0,51,144,203,0,0
