id,fund,e_support,e_vote,s_support,s_vote,g_support,g_vote,fund_manager,fund_is_esg
1,Macropus robustus,44,221,37,413,99,646,0,0
2,Hippotragus niger,15,369,99,57,4,844,2,0
3,Rhabdomys pumilio,28,44,14,3,82,58,0,1
4,Boa caninus,42,321,67,52,93,747,1,0
5,Pseudalopex gymnocercus,19,271,87,98,24,829,0,1
6,Leprocaulinus vipera,55,131,65,102,63,511,0,1
7,Ourebia ourebi,41,308,96,43,57,780,0,1
8,Felis libyca,83,206,3,270,43,248,0,1
9,Felis concolor,98,260,42,148,81,438,2,0
10,Calyptorhynchus magnificus,34,380,27,282,92,850,2,1
11,Antidorcas marsupialis,81,172,51,47,9,97,0,1
12,Lorythaixoides concolor,33,214,96,437,61,282,0,1
13,Phalacrocorax varius,8,299,15,355,9,390,1,1
14,Propithecus verreauxi,22,375,75,461,3,145,2,0
15,Lycaon pictus,67,214,87,454,0,608,2,1
16,Bubulcus ibis,60,52,45,322,25,91,0,1
17,Grus rubicundus,25,246,76,308,61,241,0,0
18,Uraeginthus granatina,98,361,73,330,8,538,0,0
19,Plocepasser mahali,39,380,58,407,55,607,2,1
20,Porphyrio porphyrio,59,147,39,9,90,457,2,1
21,Grus rubicundus,16,42,29,113,16,368,2,0
22,Picoides pubescens,16,185,82,238,11,438,0,1
23,Seiurus aurocapillus,66,253,57,6,100,105,0,0
24,Oreamnos americanus,93,172,96,109,21,513,2,1
25,Bubulcus ibis,11,203,95,14,100,725,1,0
26,Balearica pavonina,92,304,3,85,99,413,0,0
27,Anhinga rufa,96,307,97,347,77,343,0,1
28,Gazella granti,91,163,16,188,63,800,1,1
29,Pelecans onocratalus,55,48,56,6,46,687,1,1
30,Echimys chrysurus,4,200,16,388,29,376,0,0
31,Eutamias minimus,32,96,97,130,61,184,1,0
32,Falco mexicanus,25,285,51,467,0,747,1,1
33,Dasypus novemcinctus,59,172,99,331,65,314,2,0
34,Microcavia australis,43,226,63,29,10,552,0,0
35,Crotalus cerastes,31,15,100,71,37,732,2,0
36,Tachyglossus aculeatus,99,16,13,400,56,617,1,0
37,Rangifer tarandus,15,20,87,219,85,500,1,1
38,Pelecans onocratalus,65,356,75,364,68,679,1,1
39,Anitibyx armatus,13,250,70,74,21,113,0,0
40,Ursus americanus,40,186,38,163,70,510,2,1
41,Ratufa indica,36,342,6,247,69,260,0,0
42,Chauna torquata,20,268,88,323,78,642,1,0
43,Eubalaena australis,13,361,64,26,10,402,0,0
44,Dasypus septemcincus,14,186,73,13,96,548,0,1
45,Mazama gouazoubira,74,299,17,82,89,798,2,1
46,Sagittarius serpentarius,11,392,41,409,1,124,2,1
47,Streptopelia senegalensis,65,95,29,162,61,10,0,1
48,Odocoileus hemionus,65,245,69,393,1,312,2,0
49,Cordylus giganteus,11,399,62,445,65,672,1,1
50,Dicrurus adsimilis,37,69,84,18,97,682,1,0
51,Spermophilus armatus,72,385,22,52,53,355,0,0
52,Heloderma horridum,67,238,0,119,49,107,2,0
53,Zalophus californicus,31,337,16,449,12,453,2,1
54,Haliaeetus leucocephalus,64,91,80,230,73,112,1,0
55,Tachybaptus ruficollis,0,214,15,84,8,515,0,1
56,Chlamydosaurus kingii,87,216,28,417,32,684,2,1
