id,fund,e_support,e_vote,s_support,s_vote,g_support,g_vote,fund_manager
1,Platalea leucordia,34,179,27,113,13,319,1
2,Ardea golieth,32,307,43,116,49,128,3
3,Lemur catta,61,337,60,354,79,174,2
4,Cacatua tenuirostris,54,395,47,218,26,202,3
5,Spizaetus coronatus,83,172,96,368,97,709,2
6,Junonia genoveua,30,140,55,285,94,99,3
7,Taurotagus oryx,19,198,64,18,20,293,3
8,Echimys chrysurus,98,230,16,271,100,500,1
9,Centrocercus urophasianus,30,95,65,371,26,323,3
10,Sterna paradisaea,69,161,12,105,73,739,2
11,Macaca fuscata,6,81,2,67,53,261,1
12,Propithecus verreauxi,54,180,23,358,23,446,2
13,Tenrec ecaudatus,42,383,89,242,54,311,2
14,Ninox superciliaris,55,235,92,392,95,900,1
15,Lemur catta,0,111,62,277,78,234,2
16,Estrilda erythronotos,69,226,28,90,69,360,3
17,Pavo cristatus,20,201,86,70,43,429,2
18,Bucorvus leadbeateri,54,342,3,156,39,497,2
19,Felis wiedi or Leopardus weidi,36,65,75,172,0,126,2
20,Odocoileus hemionus,68,299,63,209,30,463,2
21,Pytilia melba,20,344,11,351,26,325,3
22,Speotyte cuniculata,7,187,21,59,80,394,1
23,unavailable,68,238,37,121,24,214,2
24,Herpestes javanicus,28,62,1,148,88,122,3
25,Semnopithecus entellus,15,45,2,64,0,424,3
26,Alectura lathami,0,76,66,288,97,90,3
27,Lorythaixoides concolor,55,254,98,132,67,157,3
28,Aonyx capensis,95,36,85,154,91,263,2
29,Macropus robustus,100,30,100,472,34,529,1
30,Equus burchelli,20,144,85,221,73,267,3
31,Hystrix cristata,6,131,77,55,15,144,1
32,Felis concolor,40,33,82,70,39,811,2
33,Cebus apella,51,85,30,150,70,545,2
34,Merops bullockoides,95,198,12,289,70,297,3
35,Equus hemionus,69,261,84,233,84,753,2
36,Erinaceus frontalis,61,172,73,389,53,476,2
37,Buteo jamaicensis,27,68,25,402,82,135,3
38,Equus hemionus,54,126,45,3,62,323,3
39,Lemur fulvus,56,341,4,104,85,431,1
40,Trichosurus vulpecula,4,295,47,491,76,712,3
41,Agama sp.,52,322,55,13,54,634,3
42,Ciconia ciconia,71,259,42,50,68,686,1
43,Canis lupus lycaon,0,400,22,499,11,133,3
44,Mazama gouazoubira,20,197,59,157,22,811,1
45,Equus burchelli,41,327,96,155,61,557,2
46,Myrmecophaga tridactyla,14,153,59,359,91,533,3
47,Dacelo novaeguineae,91,208,80,283,22,162,2
