id,fund,e_support,e_vote,s_support,s_vote,g_support,g_vote
1,Mirabilis multiflora (Torr.) A. Gray var. pubescens S. Watson,54,49,29,43,91,172
2,Stevia plummerae A. Gray var. plummerae,89,184,90,161,63,618
3,Lipochaeta succulenta (Hook. & Arn.) DC.,86,255,67,81,50,374
4,Pluchea sericea (Nutt.) Coville,51,66,27,47,30,632
5,Salvia spathacea Greene,96,160,32,13,40,546
6,Ligusticum filicinum S. Watson,96,40,37,196,71,526
7,Thelypodium integrifolium (Nutt.) Endl. ex Walp. ssp. integrifolium,59,153,79,154,11,72
8,Amaranthus blitum L. var. blitum,40,188,65,205,51,729
9,Thelypodium sagittatum (Nutt. ex Torr. & A. Gray) Endl. ex Walp. ssp. sagittatum,16,241,46,19,60,414
10,Sanicula mariversa Nagata & Gon,41,78,72,94,54,887
11,Trifolium willdenovii Spreng.,84,227,9,159,32,85
12,Aster amellus L.,29,179,4,113,70,798
13,Erysimum L.,23,219,18,74,93,451
14,Chelidonium L.,30,103,59,119,17,710
15,Cheirodendron trigynum (Gaudich.) A. Heller ssp. helleri (Sherff) Lowry,22,38,28,230,33,256
16,Thelesperma caespitosum Dorn,22,74,59,153,25,872
17,Lupinus argenteus Pursh ssp. argenteus,26,108,49,92,11,347
18,Eucalyptus elata Dehnh.,65,169,44,104,17,109
19,Carex microchaeta T. Holm ssp. nesophila (T. Holm) A.E. Murray,67,67,13,21,40,152
20,Lupinus hyacinthinus Greene,7,114,74,168,4,681
21,Iris hexagona Walter var. savannarum (Small) R.C. Foster,71,139,89,155,67,160
22,Amorpha ouachitensis Wilbur,15,116,89,175,46,907
23,Viola canadensis L. var. scariosa Porter ex Britton,74,240,1,62,67,782
24,Dorstenia contrajerva L.,6,166,70,21,46,839
25,Clematis recta L.,29,174,14,78,33,575
26,Philodendron marginatum Urb.,71,161,38,165,41,30
27,Lupinus polyphyllus Lindl. ssp. polyphyllus var. polyphyllus,65,72,29,27,72,2
28,Senna tora (L.) Roxb.,88,28,97,174,36,26
29,"Notholithocarpus densiflorus (Hook. & Arn.) P.S. Manos, C.H. Cannon, & S.H. Oh",12,95,87,73,91,676
30,Eremophila subfloccosa Benth.,13,50,30,191,37,903
31,Asplenium adiantum-nigrum L.,60,35,46,109,41,408
32,Elymus sierrus Gould,93,59,13,190,61,307
33,Gypsophila repens L.,22,128,34,104,48,724
34,Cyanea dunbariae Rock,5,132,6,114,16,677
35,Rhododendron flammeum (Michx.) Sarg.,66,104,51,191,57,700
36,Eriogonum nudum Douglas ex Benth. var. auriculatum (Benth.) Tracy ex Jeps.,86,160,67,110,8,295
37,Pera Mutis,57,237,97,94,29,37
38,Leptosiphon nuttallii (A. Gray) J.M. Porter & L.A. Johnson ssp. nuttallii,9,252,77,144,89,69
39,Lempholemma chalazanum (Ach.) de Lesd.,18,94,7,7,66,156
40,Paspalum bakeri Hook.,6,196,42,132,97,694
41,Cetraria arenaria Karnefelt,22,198,38,137,18,287
42,Eriogonum subreniforme S. Watson,2,200,77,161,65,613
43,Bryoria fremontii (Tuck.) Brodo & D. Hawksw.,27,237,76,134,55,785
44,Penstemon hallii A. Gray,80,71,92,237,98,919
45,Aristolochia californica Torr.,71,191,91,150,78,430
46,Schoenoplectus etuberculatus (Steud.) Soják,95,114,15,4,6,455
47,Oenothera coronopifolia Torr. & A. Gray,57,192,9,88,6,64
48,Cyrtandra ×crassior H. St. John & Storey (pro sp.),87,241,23,63,86,550
49,Nothocalais alpestris (A. Gray) K.L. Chambers,56,93,63,178,83,754
50,Eriogonum esmeraldense S. Watson,0,270,25,182,54,779
51,Euphrasia L.,40,250,58,4,4,109
52,Scutellaria parvula Michx. var. australis Fassett,74,40,52,189,51,597
53,Cyanea glabra (E. Wimm.) H. St. John,56,193,81,7,47,109
54,Filipendula rubra (Hill) B.L. Rob.,34,138,27,97,60,338
55,Racomitrium microcarpon (Hedw.) Brid.,65,173,57,31,50,733
